Age,Workclass,Education,Education-num,Marital-status,Occupation,Relationship,Race,Sex,Native-Country,Income
27, Private, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male, Cambodia, >50K
48, Private, Some-college,10, Married-civ-spouse, Craft-repair, Other-relative, Asian-Pac-Islander, Male, Cambodia, >50K
45, Private, Some-college,10, Married-civ-spouse, Adm-clerical, Wife, White, Female, Canada, >50K
37, Local-gov, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male, Canada, >50K
36, Private, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male, Canada, >50K
32, Private, Some-college,10, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, Canada, >50K
55, Private, Some-college,10, Married-civ-spouse, Tech-support, Husband, White, Male, Canada, >50K
52, Private, Some-college,10, Married-civ-spouse, Sales, Wife, White, Female, Canada, >50K
56, Self-emp-inc, Some-college,10, Married-civ-spouse, Sales, Wife, White, Female, Canada, >50K
59, Private, Some-college,10, Married-civ-spouse, Adm-clerical, Wife, White, Female, Cuba, >50K
33, Private, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male, Cuba, >50K
31, Private, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male, Cuba, >50K
38, Self-emp-inc, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male, Cuba, >50K
37, Private, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, Black, Male, Cuba, >50K
27, Self-emp-not-inc, Some-college,10, Married-civ-spouse, Transport-moving, Other-relative, Other, Male, Ecuador, >50K
42, Private, Some-college,10, Married-civ-spouse, Exec-managerial, Wife, White, Female, El-Salvador, >50K
43, Private, Some-college,10, Married-civ-spouse, Other-service, Wife, White, Female, England, >50K
34, Private, Some-college,10, Never-married, Machine-op-inspct, Not-in-family, White, Male, England, >50K
44, Private, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male, England, >50K
32, Local-gov, Some-college,10, Married-civ-spouse, Protective-serv, Wife, White, Female, France, >50K
34, Private, Some-college,10, Divorced, Prof-specialty, Not-in-family, Black, Male, Germany, >50K
45, Private, Some-college,10, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, Germany, >50K
52, Private, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, White, Male, Germany, >50K
